분류-대-공정,분류-중-재료,분류-소-객체유형,라이브러리-라이브러리 ID(코드),라이브러리-파일명,라이브러리-확장자-rfa,라이브러리-확장자-rte,라이브러리-명칭,라이브러리-명칭(유형명),조달청 표준공사코드-세부공종코드(전체),조달청 표준공사코드-세부공종코드(추가),관련규격-KBIMS 부위분류,비고
CW000-커튼월,,,CW000,CW000-커튼월,,○,,CW000-커튼월 ,ALC1,,E336,
CW100-커튼월,,,CW100,CW100-커튼월,,○,,CW100-커튼월 ,ALC1,,E336,
,110.0-커튼월,,CW110,CW110-커튼월,,○,,CW110-커튼월 ,ALC1,,E336,
,,"111.0-강재 (철재, 스틸)",,,,,,,,,E336,
,,112.0-스테인리스 스틸,CW112,CW112-스테인리스 스틸 커튼월,,○,,CW112-스테인리스 스틸 커튼월 ,ALC1,,E336,
,,113.0-알루미늄,CW113,CW113-알루미늄 커튼월,,○,,CW113-알루미늄 커튼월 ,ALC1,,E336,
,,115.0,,,,,,,,,E336,
,,117.0-목재,,,,,,,,,E336,
,,118.0-플라스틱,,,,,,,,,E336,
,200.0-멀리언,200.0-알루미늄,CW200,CW200-직사각형 멀리언,,,,CW200-직사각형 멀리언 ,ALC1,,E336,
,,,,,,○,50x100mm,CW200-직사각형 멀리언 50x100mm,ALC1,,E336,
,,,,,,○,50x200mm,CW200-직사각형 멀리언 50x200mm,ALC1,,E336,
,,,,,,○,60x95mm,CW200-직사각형 멀리언 60x95mm,ALC1,,E336,
,,,,,,○,60x100mm,CW200-직사각형 멀리언 60x100mm,ALC1,,E336,
,,,,,,○,95x95mm,CW200-직사각형 멀리언 95x95mm,ALC1,,E336,
,,,,,,○,100x100mm,CW200-직사각형 멀리언 100x100mm,ALC1,,E336,
,,,,,,○,125x125mm,CW200-직사각형 멀리언 125x125mm,ALC1,,E336,
,300.0-커튼월 패널,300.0-알루미늄,CW300,CW300-THK24.Low-e coating glass,,○,,CW300-THK24.Low-e coating glass ,ALC1,,E336,
,400.0-커튼월 창,,,,,,,,,,E336,
,,410.0-알루미늄,CW410,CW410-프로젝트 창,,,,,ALC1,,E336,
,,,,,○,,(상부개폐),CW410-프로젝트 창 (상부개폐),ALC1,,E336,
,,,,,○,,(하부개폐),CW410-프로젝트 창 (하부개폐),ALC1,,E336,
,,420.0-알루미늄,CW420,CW420-스팬드럴,,,,,ALC1,,E336,
,,,,,○,,(유리),CW420-스팬드럴 (유리),ALC1,,E336,
,,,,,○,,(유리+백판),CW420-스팬드럴 (유리+백판),ALC1,,E336,
,,,,,○,,(유리+백판)-상1500,CW420-스팬드럴 (유리+백판)-상1500,ALC1,,E336,
,500.0-커튼월 문,500.0,,,,,,,,,E336,
,,510.0-알루미늄,CW510,CW510-Single Door,○,,,CW510-Single Door ,ALC1,,E336,
,,520.0-알루미늄,CW520,CW520-Double Door,○,,,CW520-Double Door ,ALC1,,E336,
,,,,,7,13,,,,,,
